epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,182.126,0.55924,0.64603,0.99075,0.85104,0.625,0.71548,0.52563,1.19696,1.21434,1.40219,0.000515,0.000515,0.000515
77,184.331,0.55557,0.64656,0.95617,0.85104,0.625,0.71548,0.52563,1.19696,1.21434,1.40219,0.0004952,0.0004952,0.0004952
78,186.941,0.58607,0.62547,0.95977,0.8056,0.64774,0.70773,0.52561,1.19533,1.25106,1.39973,0.0004754,0.0004754,0.0004754
79,189.229,0.60275,0.61207,0.97787,0.86301,0.59075,0.69572,0.51382,1.26018,1.31548,1.43876,0.0004556,0.0004556,0.0004556
80,191.413,0.59426,0.64126,0.95414,0.8167,0.55714,0.68722,0.49676,1.2753,1.33879,1.4522,0.0004358,0.0004358,0.0004358
81,193.541,0.57635,0.60423,0.94904,0.8167,0.55714,0.68722,0.49676,1.2753,1.33879,1.4522,0.000416,0.000416,0.000416
82,195.502,0.54626,0.59006,0.95606,0.80338,0.5625,0.68235,0.48166,1.27859,1.32319,1.45269,0.0003962,0.0003962,0.0003962
83,197.397,0.54894,0.58369,0.9231,0.72258,0.59375,0.69326,0.48786,1.24643,1.27843,1.4346,0.0003764,0.0003764,0.0003764
84,199.612,0.52424,0.6129,0.96999,0.68483,0.71875,0.77018,0.4852,1.2605,1.30455,1.43101,0.0003566,0.0003566,0.0003566
85,201.483,0.54485,0.608,0.97112,0.68483,0.71875,0.77018,0.4852,1.2605,1.30455,1.43101,0.0003368,0.0003368,0.0003368
86,203.475,0.58641,0.60877,0.95896,0.71144,0.65625,0.77922,0.51538,1.24357,1.28383,1.403,0.000317,0.000317,0.000317
87,205.418,0.62146,0.61084,0.97793,0.72339,0.65389,0.76643,0.49786,1.27494,1.3552,1.41231,0.0002972,0.0002972,0.0002972
88,207.372,0.62945,0.59798,0.9706,0.89936,0.55867,0.77921,0.50324,1.28355,1.38807,1.40558,0.0002774,0.0002774,0.0002774
89,209.285,0.50618,0.59318,0.94798,0.89936,0.55867,0.77921,0.50324,1.28355,1.38807,1.40558,0.0002576,0.0002576,0.0002576
90,211.259,0.54353,0.63404,0.93609,0.94694,0.55789,0.7891,0.50301,1.29754,1.41954,1.40629,0.0002378,0.0002378,0.0002378
91,213.189,0.47418,0.7813,0.91248,0.87845,0.5625,0.79189,0.50093,1.2758,1.42317,1.39859,0.000218,0.000218,0.000218
92,215.08,0.51,0.74362,0.8935,0.89935,0.5625,0.76563,0.49465,1.33401,1.46593,1.42207,0.0001982,0.0001982,0.0001982
93,216.92,0.49874,0.73772,0.87858,0.89935,0.5625,0.76563,0.49465,1.33401,1.46593,1.42207,0.0001784,0.0001784,0.0001784
94,218.755,0.4697,0.68894,0.92514,0.94693,0.55783,0.75923,0.48082,1.35709,1.46255,1.42438,0.0001586,0.0001586,0.0001586
95,220.641,0.44739,0.76381,0.91221,0.89932,0.55844,0.75847,0.48845,1.37457,1.45701,1.45343,0.0001388,0.0001388,0.0001388
96,222.464,0.43463,0.67231,0.85579,0.79972,0.62394,0.74712,0.46463,1.41298,1.49767,1.48132,0.000119,0.000119,0.000119
97,224.352,0.45461,0.70394,0.86091,0.79972,0.62394,0.74712,0.46463,1.41298,1.49767,1.48132,9.92e-05,9.92e-05,9.92e-05
98,226.543,0.46342,0.66224,0.90452,0.83272,0.62234,0.75428,0.46031,1.40261,1.48927,1.46906,7.94e-05,7.94e-05,7.94e-05
99,228.631,0.45898,0.66454,0.86425,0.83107,0.61523,0.75516,0.46355,1.41056,1.49818,1.46734,5.96e-05,5.96e-05,5.96e-05
100,230.509,0.45108,0.77376,0.92216,0.83283,0.62284,0.76045,0.47369,1.40196,1.49363,1.45609,3.98e-05,3.98e-05,3.98e-05
